id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37676,Mt. Hood View in the Pearl District,162158,1462511354592858514,Paul,,Pearl,45.52564,-122.68273,Entire home/apt,,30,134,2025-06-29,0.72,2,337,2,
61893,Perfect Portland Place,300391,1462515080619594180,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,,30,25,2024-11-27,0.23,1,267,0,
67036,Historic Home Located in Central City,329777,1462515851707105101,Will,,Sullivan's Gulch,45.53103,-122.64448,Entire home/apt,,4,85,2025-11-29,0.47,1,331,13,12-123170-000-00-LU
93613,Sunny Queen Room in FUN Alberta Arts,501715,1462520075273747735,Teresa,,Sabin,45.55536,-122.65106,Private room,,30,70,2025-11-12,0.41,10,365,3,
99355,Beautiful Apt near City Center!,523311,1462520680383607110,Mark,,Irvington,45.53836,-122.65159,Entire home/apt,,1,340,2025-11-09,2.02,2,333,25,08-175882-000-00-LU
114086,Bright Friendly Home- Alberta Arts,501715,1462520075273747735,Teresa,,Sabin,45.55593,-122.65029,Private room,,30,73,2025-11-09,0.42,10,152,2,
117969,Beautiful Remodeled Apartment,589016,1462522785840874598,Steven,,Richmond,45.51022,-122.63088,Entire home/apt,,2,379,2025-11-16,2.96,1,253,30,24-006555-000-00-HO
134282,Daylight Foodie's Paradise & Everyone's Fun Zone,659137,1462525234316582470,Anjali,,Boise,45.55273,-122.67524,Entire home/apt,,31,35,2023-06-15,0.20,2,177,0,
143483,Garden Hideaway near City Center!,523311,1462520680383607110,Mark,,Irvington,45.54005222601903,-122.64988089596142,Entire home/apt,,1,193,2025-11-07,1.13,2,349,8,08-175882-000-00-LU
145199,Two private bedrooms with bath and kitchenette,683139,1462526043018387962,Amy,,Montavilla,45.52959,-122.59081,Private room,,3,91,2025-09-07,0.52,1,365,5,24astr-app-00058
182450,"Luminous, Cosy Home near lively SE Division Street",52505,1462507717998954905,Judith,,Richmond,45.50529,-122.63201,Entire home/apt,,5,38,2025-10-21,0.24,2,24,5,14-212846-000-00-HO
182465,Quiet room next to lively Division St,52505,1462507717998954905,Judith,,Richmond,45.50582,-122.63389,Private room,,2,367,2025-11-16,2.10,2,73,20,14-212846-000-00-HO
195632,Foodie's Paradise & Everyone's Playground!,659137,1462525234316582470,Anjali,,Boise,45.55083,-122.67567,Entire home/apt,,30,89,2024-04-14,0.51,2,177,0,17-183022-000-00-HO
199683,"Authentic Portland Flavor, Central!",975606,1462534736673993077,H Lee,,Rose City Park,45.54458,-122.60223,Private room,,31,50,2023-09-09,0.30,3,365,0,
217607,WaterFront Pearl - one bedroom one bath.  Close in,971012,1462515433564292309,Cynthia,,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,,30,46,2025-08-23,0.27,2,364,1,
218708,Vintage Charm *King* at Opal 28 Apt 3,6313800,1462703286366703752,Margot,,Kerns,45.5236,-122.63458,Entire home/apt,,30,276,2025-10-06,1.60,5,143,2,Exempt
222298,"Blues, Brews & Bicycle Guesthouse",1153902,1462538412172321632,Taizz,,Overlook,45.55815,-122.69218,Private room,,2,123,2025-08-05,0.71,3,42,6,20-110377-000-00-HO
231732,"large, sunny room in farmhouse",1153902,1462538412172321632,Taizz,,Overlook,45.55629,-122.69042,Private room,,30,48,2022-02-07,0.29,3,73,0,
231734,"Private, sunny room in farmhouse",1153902,1462538412172321632,Taizz,,Overlook,45.55748,-122.69207,Private room,,2,78,2025-09-23,0.46,3,43,18,20-110377-000-00-HO
236108,Large COMFY Room in Alberta Arts,501715,1462520075273747735,Teresa,,Sabin,45.55645,-122.64854,Private room,,30,59,2022-10-15,0.36,10,365,0,
264248,Victorian Retreat near Hawthorne,375920,1462516908192130656,Cynthia,,Buckman,45.51268,-122.6493,Entire home/apt,,30,18,2025-08-29,0.11,1,241,2,
269339,Sweet Apartment in Alberta St. Area,960864,1462534363723938399,Naomi,,King,45.55033,-122.65798,Entire home/apt,,2,375,2022-12-11,2.21,2,0,0,16-213200-000-00-HO
317797,Condo in the Courtyard,828435,1462530643636541381,Furnished In Portland,,Mt. Tabor,45.510918377814114,-122.61128317425442,Entire home/apt,,30,45,2025-08-28,0.27,6,151,2,
332420,"Vintage Artist's Home, walk/bike everywhere!",1206902,1462516589233890105,LeBrie,,Sunnyside,45.518,-122.6322,Entire home/apt,,3,65,2025-09-22,0.42,1,3,4,17-139025-000-00-HO
345650,GUEST SUITE SURROUNDED BY NATURE,38860,1462507324668653227,Renata,,Hayhurst,45.48203,-122.71903,Entire home/apt,,2,139,2022-12-12,0.85,1,267,0,20-133572-000-00-HO
357732,"Cheerful, musical, eclectic home",1810476,1462578994664277420,Susan,,Multnomah,45.46518,-122.71617,Private room,,30,37,2025-09-08,0.22,2,337,2,
362775,Kuza Cabin + Fine-Dining Village,1213257,1462516627506848298,Dayna,,Alameda,45.54903,-122.63423,Entire home/apt,,1,546,2025-11-08,3.28,8,350,53,24astr-per-00295
383701,Sellwood Music Suite,51531579,1465806248234165123,Lucca,,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,,2,450,2025-11-16,2.70,2,140,28,14-224927-000-00-HO
386687,The Heart of Multnomah Village,532509,1462512473655660898,Maria,,Multnomah,45.4692,-122.71497,Entire home/apt,,30,236,2024-12-26,1.43,1,365,1,19-264153-000-00-HO
